"Date","Price","Open","High","Low","Vol.","Change %"
"02/07/2025","433.25","429.10","435.40","428.45","79.06M","0.99%"
"02/06/2025","429.00","424.45","436.05","424.45","36.04M","1.19%"
"02/05/2025","423.95","422.50","426.70","421.50","50.28M","0.41%"
"02/04/2025","422.20","414.55","422.55","411.40","46.76M","0.52%"
"02/03/2025","420.00","417.00","427.00","410.25","47.21M","-0.59%"
"01/31/2025","422.50","423.50","426.00","419.50","52.39M","0.24%"
"01/30/2025","421.50","417.30","423.00","415.30","28.82M","1.22%"
"01/29/2025","416.40","416.60","419.10","412.15","51.55M","-0.47%"
"01/28/2025","418.35","420.95","423.35","416.25","31.91M","0.34%"
"01/27/2025","416.95","419.45","422.45","416.25","39.40M","-0.69%"
"01/24/2025","419.85","424.05","425.75","418.70","46.20M","-0.92%"
"01/23/2025","423.75","422.55","427.30","422.55","25.53M","-0.59%"
"01/22/2025","426.25","424.45","429.30","423.50","27.89M","-0.14%"
"01/21/2025","426.85","429.70","431.00","425.10","36.43M","-0.66%"
"01/20/2025","429.70","432.65","435.25","428.95","41.15M","-1.06%"
"01/17/2025","434.30","434.50","439.10","433.75","40.95M","1.28%"
"01/16/2025","428.80","428.15","432.85","426.90","35.06M","1.37%"
"01/15/2025","423.00","425.45","426.45","420.70","48.69M","0.65%"
"01/14/2025","420.25","419.20","424.55","416.70","104.13M","-2.54%"
"01/13/2025","431.20","432.05","433.90","426.05","46.83M","1.43%"
"01/10/2025","425.10","422.85","434.70","421.80","40.10M","0.57%"
"01/09/2025","422.70","419.00","426.15","418.30","23.10M","0.55%"
"01/08/2025","420.40","424.85","426.15","416.95","37.98M","-0.38%"
"01/07/2025","422.00","414.55","422.00","411.90","42.10M","1.92%"
"01/06/2025","414.05","409.50","415.70","406.80","30.14M","1.50%"
"01/03/2025","407.95","403.95","410.45","403.10","28.42M","1.19%"
"01/02/2025","403.15","395.00","404.05","394.65","26.18M","2.58%"
"12/31/2024","393.00","386.80","393.00","386.80","8.89M","1.62%"
"12/30/2024","386.75","383.90","387.55","383.30","16.08M","0.34%"
"12/27/2024","385.45","382.90","387.10","381.85","15.88M","1.10%"
