Date,Close/Last,Open,High,Low
01/30/2025,8646.88,8557.81,8655.17,8547.86
01/29/2025,8557.81,8533.87,8584.09,8518.27
01/28/2025,8533.87,8503.71,8572.96,8503.62
01/27/2025,8503.71,8502.35,8514.17,8462.18
01/24/2025,8502.35,8565.20,8586.68,8492.73
01/23/2025,8565.20,8545.13,8572.51,8532.07
01/22/2025,8545.13,8548.29,8584.73,8527.79
01/21/2025,8548.29,8520.54,8550.41,8513.42
01/20/2025,8520.54,8505.22,8548.59,8501.82
01/17/2025,8505.22,8391.90,8533.43,8391.83
01/16/2025,8391.90,8301.13,8391.90,8301.13
01/15/2025,8301.13,8201.54,8307.56,8199.57
01/14/2025,8201.54,8224.19,8244.31,8193.54
01/13/2025,8224.19,8248.49,8253.98,8192.31
01/10/2025,8248.49,8319.69,8326.32,8247.61
01/09/2025,8319.69,8251.03,8322.59,8243.15
01/08/2025,8251.03,8245.28,8267.38,8189.50
01/07/2025,8245.28,8249.66,8251.79,8190.50
01/06/2025,8249.66,8223.98,8249.66,8197.50
01/03/2025,8223.98,8260.09,8268.97,8219.73
01/02/2025,8260.09,8173.02,8270.60,8160.60
12/31/2024,8173.02,8121.01,8180.38,8096.65
12/30/2024,8121.01,8149.78,8149.78,8094.88
12/27/2024,8149.78,8136.99,8151.28,8112.29
12/24/2024,8136.99,8102.72,8152.01,8102.72
12/23/2024,8102.72,8084.61,8111.41,8051.85
12/20/2024,8084.61,8105.32,8105.83,8002.34
12/19/2024,8105.32,8199.11,8199.11,8078.98
12/18/2024,8199.11,8195.20,8231.84,8191.61
12/17/2024,8195.20,8262.05,8262.05,8190.14
12/16/2024,8262.05,8300.33,8305.21,8254.06
12/13/2024,8300.33,8311.76,8331.85,8282.40
12/12/2024,8311.76,8301.62,8331.05,8300.18
12/11/2024,8301.62,8280.36,8318.88,8248.42
12/10/2024,8280.36,8352.08,8352.13,8274.50
12/09/2024,8352.08,8308.61,8372.05,8308.61
12/06/2024,8308.61,8349.38,8357.55,8303.48
12/05/2024,8349.38,8335.81,8350.67,8321.64
12/04/2024,8335.81,8359.41,8362.75,8322.84
12/03/2024,8359.41,8312.89,8388.37,8311.85
12/02/2024,8312.89,8287.30,8332.00,8274.66
11/29/2024,8287.30,8281.22,8292.45,8252.89
11/28/2024,8281.22,8274.75,8303.77,8271.85
11/27/2024,8274.75,8258.61,8280.02,8237.70
11/26/2024,8258.61,8291.68,8291.68,8245.76
11/25/2024,8291.68,8262.08,8307.27,8261.92
11/22/2024,8262.08,8149.27,8274.84,8149.27
11/21/2024,8149.27,8085.07,8152.86,8065.22
11/20/2024,8085.07,8099.02,8128.44,8074.22
11/19/2024,8099.02,8109.32,8145.86,8052.02
11/18/2024,8109.32,8063.61,8109.32,8054.07
11/15/2024,8063.61,8071.19,8091.89,8030.01
11/14/2024,8071.19,8030.33,8083.12,8012.83
11/13/2024,8030.33,8025.77,8062.74,7995.87
11/12/2024,8025.77,8125.19,8125.19,8018.55
11/11/2024,8125.19,8072.39,8148.18,8072.39
11/08/2024,8072.39,8140.74,8156.45,8060.94
11/07/2024,8140.74,8166.68,8195.30,8140.74
11/06/2024,8166.68,8172.39,8301.78,8144.25
11/05/2024,8172.39,8184.24,8215.84,8148.34
11/04/2024,8184.24,8177.15,8239.88,8175.73
11/01/2024,8177.15,8110.10,8202.55,8105.30
10/31/2024,8110.10,8159.63,8159.63,8071.72
10/30/2024,8159.63,8219.61,8219.61,8153.75
10/29/2024,8219.61,8285.62,8325.54,8216.17
10/28/2024,8285.62,8248.84,8293.61,8208.91
10/25/2024,8248.84,8269.38,8278.11,8246.23
10/24/2024,8269.38,8258.64,8337.68,8256.77
10/23/2024,8258.64,8306.54,8323.24,8252.38
10/22/2024,8306.54,8318.24,8318.24,8252.42
10/21/2024,8318.24,8358.25,8391.81,8318.24
10/18/2024,8358.25,8329.07,8385.13,8315.85
10/17/2024,8385.13,8329.07,8395.58,8322.12
10/16/2024,8329.07,8249.28,8346.55,8249.28
10/15/2024,8249.28,8292.66,8306.22,8241.96
10/14/2024,8292.66,8253.65,8292.66,8237.70
10/11/2024,8253.65,8237.73,8265.71,8211.92
10/10/2024,8237.73,8243.74,8272.46,8218.36
10/09/2024,8243.74,8190.61,8244.36,8188.71
10/08/2024,8190.61,8303.62,8303.62,8184.03
10/07/2024,8303.62,8280.63,8323.41,8260.11
10/04/2024,8280.63,8282.52,8300.66,8234.17
10/03/2024,8282.52,8290.86,8332.68,8261.96
10/02/2024,8290.86,8276.65,8322.59,8267.60
10/01/2024,8276.65,8236.95,8291.10,8226.18
09/30/2024,8236.95,8320.76,8324.61,8233.99
09/27/2024,8320.76,8284.91,8334.55,8283.52
09/26/2024,8284.91,8268.70,8332.87,8262.03
09/25/2024,8268.70,8282.76,8319.41,8242.99
09/24/2024,8282.76,8259.71,8309.75,8259.51
09/23/2024,8259.71,8229.99,8262.53,8210.07
09/20/2024,8229.99,8328.72,8328.72,8223.76
09/19/2024,8328.72,8253.68,8370.47,8253.68
09/18/2024,8253.68,8309.86,8309.95,8245.70
09/17/2024,8309.86,8278.44,8351.72,8278.36
09/16/2024,8278.44,8273.09,8289.95,8247.92
09/13/2024,8273.09,8240.97,8287.90,8230.75
09/12/2024,8240.97,8193.94,8301.36,8193.94
09/11/2024,8193.94,8205.98,8232.76,8169.96
09/10/2024,8205.98,8270.84,8271.12,8195.13
09/09/2024,8270.84,8181.47,8274.68,8181.74
09/06/2024,8181.47,8241.71,8260.68,8168.42
09/05/2024,8241.71,8269.60,8285.55,8241.71
09/04/2024,8269.60,8298.46,8298.46,8219.26
09/03/2024,8298.46,8363.84,8380.98,8286.60
09/02/2024,8363.84,8376.63,8380.04,8353.18
08/30/2024,8376.63,8379.64,8414.37,8363.74
08/29/2024,8379.64,8343.85,8392.40,8336.54
08/28/2024,8343.85,8345.46,8362.74,8322.28
08/27/2024,8345.46,8327.78,8400.43,8327.78
08/23/2024,8327.78,8288.00,8331.90,8288.00
08/22/2024,8288.00,8283.43,8318.55,8276.99
08/21/2024,8283.43,8273.32,8295.94,8263.00
08/20/2024,8273.32,8356.94,8356.94,8270.69
08/19/2024,8356.94,8311.41,8374.02,8286.50
08/16/2024,8311.41,8347.35,8350.35,8292.01
08/15/2024,8347.35,8235.23,8366.98,8277.08
08/14/2024,8281.05,8235.23,8288.72,8230.68
08/13/2024,8235.23,8210.25,8244.41,8187.98
08/12/2024,8210.25,8168.10,8223.48,8168.10
08/09/2024,8144.97,0.00,0.00,0.00
08/08/2024,8166.88,0.00,0.00,0.00
08/07/2024,8026.69,0.00,0.00,0.00
08/06/2024,8008.23,0.00,0.00,0.00
08/05/2024,8174.71,0.00,0.00,0.00
08/02/2024,8283.36,0.00,0.00,0.00
08/01/2024,8367.98,0.00,0.00,0.00
07/31/2024,8274.41,0.00,0.00,0.00
07/30/2024,8292.35,0.00,0.00,0.00
07/29/2024,8285.71,0.00,0.00,0.00
07/26/2024,8186.35,0.00,0.00,0.00
07/25/2024,8153.69,0.00,0.00,0.00
07/24/2024,8167.37,0.00,0.00,0.00
07/23/2024,8198.78,0.00,0.00,0.00
07/22/2024,8155.72,0.00,0.00,0.00
07/19/2024,8204.89,0.00,0.00,0.00
07/18/2024,8187.46,0.00,0.00,0.00
07/17/2024,8164.90,0.00,0.00,0.00
07/16/2024,8182.96,0.00,0.00,0.00
07/15/2024,8182.96,8252.91,8252.91,8174.62
07/12/2024,8252.91,8223.34,8276.31,8223.34
07/11/2024,8223.34,8193.51,8231.78,8190.81
07/10/2024,8193.51,8139.81,8194.85,8138.18
07/09/2024,8139.81,8193.49,8217.10,8132.49
07/08/2024,8193.49,8203.93,8232.81,8175.26
07/05/2024,8203.93,8241.26,8279.75,8182.70
07/04/2024,8241.26,8171.12,8257.95,8170.97
07/03/2024,8171.12,8121.20,8177.98,8121.20
07/02/2024,8121.20,8166.76,8166.76,8106.79
07/01/2024,8166.76,8164.12,8225.08,8164.12
06/28/2024,8164.12,8179.68,8237.36,8162.68
06/27/2024,8179.68,8225.33,8232.87,8179.68
06/26/2024,8225.33,8247.79,8302.04,8205.04
06/25/2024,8247.79,8281.55,8294.24,8245.66
06/24/2024,8281.55,8237.72,8307.93,8217.39
06/21/2024,8237.72,8272.46,8282.66,8188.12
06/20/2024,8272.46,8205.11,8272.46,8203.62
06/19/2024,8205.11,8191.29,8212.65,8164.48
06/18/2024,8191.29,8142.15,8199.95,8142.15
06/17/2024,8142.15,8146.86,8187.25,8120.89
06/14/2024,8146.86,8163.67,8178.21,8112.93
06/13/2024,8163.67,8215.48,8215.48,8147.44
06/12/2024,8215.48,8147.81,8243.22,8147.81
06/11/2024,8147.81,8228.48,8261.74,8114.84
06/10/2024,8228.48,8245.37,8245.37,8183.47
06/07/2024,8245.37,8285.34,8297.01,8210.23
06/06/2024,8285.34,8246.95,8287.07,8246.95
06/05/2024,8246.95,8232.04,8276.55,8232.04
06/04/2024,8232.04,8262.75,8263.38,8200.26
06/03/2024,8262.75,8275.38,8371.72,8258.86
05/31/2024,8275.38,8231.05,8289.22,8231.05
05/30/2024,8231.05,8183.07,8236.25,8148.49
05/29/2024,8183.07,8254.18,8255.39,8180.03
05/28/2024,8254.18,8317.59,8335.46,8241.33
05/24/2024,8317.59,8339.23,8339.23,8263.77
05/23/2024,8339.23,8370.33,8385.23,8332.27
05/22/2024,8370.33,8416.45,8416.45,8343.36
05/21/2024,8416.45,8424.20,8424.20,8379.12
05/20/2024,8424.20,8420.26,8451.64,8417.95
05/17/2024,8420.26,8438.65,8441.68,8401.40
05/16/2024,8438.65,8445.80,8455.66,8406.69
05/15/2024,8445.80,8428.13,8474.41,8427.92
05/14/2024,8428.13,8414.99,8448.67,8406.96
05/13/2024,8414.99,8433.76,8446.46,8409.15
05/10/2024,8433.76,8381.35,8455.77,8381.35
05/09/2024,8381.35,8354.05,8396.25,8349.83
05/08/2024,8354.05,8313.67,8365.28,8313.67
05/07/2024,8313.67,8213.49,8335.68,8213.49
05/03/2024,8213.49,8172.15,8248.73,8172.15
05/02/2024,8172.15,8121.24,8178.76,8119.85
05/01/2024,8121.24,8144.13,8178.95,8111.38
04/30/2024,8144.13,8147.03,8199.95,8138.14
04/29/2024,8147.03,8139.83,8189.14,8136.71
04/26/2024,8139.83,8078.86,8146.79,8078.86
04/25/2024,8078.86,8040.38,8105.59,8030.05
04/24/2024,8040.38,8044.81,8092.20,8031.79
04/23/2024,8044.81,8023.87,8076.52,8021.67
04/22/2024,8023.87,7895.85,8042.81,7895.85
04/19/2024,7895.85,7877.05,7900.51,7809.68
04/18/2024,7877.05,7847.99,7898.77,7845.89
04/17/2024,7847.99,7820.36,7893.62,7798.57
04/16/2024,7820.36,7965.53,7965.53,7793.91
04/15/2024,7965.53,7995.58,8009.52,7952.14
04/12/2024,7995.58,7923.80,8044.98,7923.80
04/11/2024,7923.80,7961.21,7970.09,7886.89
04/10/2024,7961.21,7934.79,7987.50,7916.53
04/09/2024,7934.79,7943.47,7962.78,7917.47
04/08/2024,7943.47,7911.16,7953.16,7887.92
04/05/2024,7911.16,7975.89,7975.89,7884.45
04/04/2024,7975.89,7937.44,7990.41,7937.37
04/03/2024,7937.44,7935.09,7937.44,7882.68
04/02/2024,7935.09,7952.62,8015.63,7928.59
03/28/2024,7952.62,7931.98,7975.38,7931.36
03/27/2024,7931.98,7930.96,7938.14,7893.00
03/26/2024,7930.96,7917.57,7934.37,7892.08
03/25/2024,7917.57,7930.92,7939.38,7891.72
03/22/2024,7930.92,7882.55,7961.43,7882.19
03/21/2024,7882.55,7737.38,7901.80,7737.38
03/20/2024,7737.38,7738.30,7749.39,7711.46
03/19/2024,7738.30,7722.55,7739.67,7699.57
03/18/2024,7722.55,7727.42,7750.17,7714.90
