Date,Monthly GDP
Jan 2007,82.9
Feb 2007,83.2
Mar 2007,83.3
Apr 2007,83.5
May 2007,83.9
Jun 2007,84.0
Jul 2007,84.0
Aug 2007,84.5
Sep 2007,84.6
Oct 2007,84.3
Nov 2007,84.8
Dec 2007,85.2
Jan 2008,85.2
Feb 2008,85.7
Mar 2008,85.0
Apr 2008,85.6
May 2008,84.8
Jun 2008,84.6
Jul 2008,84.2
Aug 2008,83.9
Sep 2008,82.9
Oct 2008,82.7
Nov 2008,81.6
Dec 2008,81.3
Jan 2009,80.5
Feb 2009,80.5
Mar 2009,79.7
Apr 2009,80.4
May 2009,79.5
Jun 2009,79.7
Jul 2009,80.2
Aug 2009,79.8
Sep 2009,79.9
Oct 2009,80.1
Nov 2009,80.1
Dec 2009,80.5
Jan 2010,80.0
Feb 2010,81.3
Mar 2010,81.9
Apr 2010,81.6
May 2010,82.2
Jun 2010,82.2
Jul 2010,82.3
Aug 2010,82.4
Sep 2010,82.6
Oct 2010,82.9
Nov 2010,82.7
Dec 2010,82.0
Jan 2011,82.4
Feb 2011,82.8
Mar 2011,83.0
Apr 2011,82.2
May 2011,83.1
Jun 2011,83.1
Jul 2011,83.2
Aug 2011,83.0
Sep 2011,83.1
Oct 2011,82.4
Nov 2011,83.4
Dec 2011,84.1
Jan 2012,84.5
Feb 2012,83.7
Mar 2012,84.1
Apr 2012,83.5
May 2012,84.8
Jun 2012,83.7
Jul 2012,84.8
Aug 2012,85.3
Sep 2012,84.4
Oct 2012,84.7
Nov 2012,85.0
Dec 2012,84.6
Jan 2013,84.4
Feb 2013,85.2
Mar 2013,85.3
Apr 2013,85.3
May 2013,85.7
Jun 2013,85.8
Jul 2013,86.0
Aug 2013,86.3
Sep 2013,86.3
Oct 2013,86.8
Nov 2013,86.8
Dec 2013,86.5
Jan 2014,87.0
Feb 2014,87.5
Mar 2014,88.0
Apr 2014,88.1
May 2014,88.3
Jun 2014,88.6
Jul 2014,89.1
Aug 2014,89.0
Sep 2014,89.2
Oct 2014,89.6
Nov 2014,89.7
Dec 2014,89.7
Jan 2015,89.6
Feb 2015,89.9
Mar 2015,89.9
Apr 2015,90.4
May 2015,90.3
Jun 2015,90.2
Jul 2015,90.5
Aug 2015,90.5
Sep 2015,90.6
Oct 2015,91.0
Nov 2015,90.8
Dec 2015,91.1
Jan 2016,91.2
Feb 2016,91.4
Mar 2016,91.6
Apr 2016,92.1
May 2016,91.9
Jun 2016,92.1
Jul 2016,92.2
Aug 2016,92.4
Sep 2016,92.9
Oct 2016,92.7
Nov 2016,93.1
Dec 2016,93.7
Jan 2017,93.9
Feb 2017,94.0
Mar 2017,94.1
Apr 2017,94.4
May 2017,94.6
Jun 2017,94.6
Jul 2017,94.8
Aug 2017,95.0
Sep 2017,95.4
Oct 2017,95.4
Nov 2017,95.6
Dec 2017,95.9
Jan 2018,95.7
Feb 2018,95.8
Mar 2018,95.7
Apr 2018,95.7
May 2018,95.9
Jun 2018,96.2
Jul 2018,96.0
Aug 2018,96.3
Sep 2018,96.5
Oct 2018,96.4
Nov 2018,96.5
Dec 2018,96.2
Jan 2019,96.7
Feb 2019,97.3
Mar 2019,97.3
Apr 2019,97.0
May 2019,97.4
Jun 2019,97.9
Jul 2019,98.2
Aug 2019,98.0
Sep 2019,98.5
Oct 2019,98.3
Nov 2019,98.1
Dec 2019,98.5
Jan 2020,98.6
Feb 2020,98.1
Mar 2020,91.0
Apr 2020,73.2
May 2020,74.7
Jun 2020,81.7
Jul 2020,87.1
Aug 2020,90.0
Sep 2020,91.3
Oct 2020,91.7
Nov 2020,89.7
Dec 2020,91.1
Jan 2021,88.1
Feb 2021,89.4
Mar 2021,92.0
Apr 2021,95.1
May 2021,96.5
Jun 2021,97.3
Jul 2021,97.0
Aug 2021,97.9
Sep 2021,98.5
Oct 2021,98.8
Nov 2021,99.3
Dec 2021,99.2
Jan 2022,99.4
Feb 2022,100.0
Mar 2022,99.9
Apr 2022,99.9
May 2022,100.5
Jun 2022,99.5
Jul 2022,100.1
Aug 2022,100.2
Sep 2022,99.6
Oct 2022,100.5
Nov 2022,100.5
Dec 2022,100.1
Jan 2023,100.3
Feb 2023,100.7
Mar 2023,100.4
Apr 2023,100.5
May 2023,100.1
Jun 2023,100.8
Jul 2023,100.4
Aug 2023,100.4
Sep 2023,100.3
Oct 2023,99.9
Nov 2023,100.2
Dec 2023,100.1
Jan 2024,100.6
Feb 2024,100.7
Mar 2024,101.2
Apr 2024,101.0
May 2024,101.3
Jun 2024,101.2
Jul 2024,101.1
Aug 2024,101.3
Sep 2024,101.2
Oct 2024,101.1
Nov 2024,101.1
